Processing FPS: 4.79 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 3.86 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 4.32 | Video Playback FPS: 2.51 | Frames in Buffer: 0
Processing FPS: 4.70 | Video Playback FPS: 3.28 | Frames in Buffer: 0
Processing FPS: 5.01 | Video Playback FPS: 3.87 | Frames in Buffer: 0
Processing FPS: 5.25 | Video Playback FPS: 4.31 | Frames in Buffer: 0
Processing FPS: 5.45 | Video Playback FPS: 4.67 | Frames in Buffer: 0
Processing FPS: 5.63 | Video Playback FPS: 4.95 | Frames in Buffer: 0
Processing FPS: 5.79 | Video Playback FPS: 5.20 | Frames in Buffer: 0
Processing FPS: 5.93 | Video Playback FPS: 5.43 | Frames in Buffer: 0
Processing FPS: 6.05 | Video Playback FPS: 5.59 | Frames in Buffer: 0
Processing FPS: 6.16 | Video Playback FPS: 5.76 | Frames in Buffer: 0
Processing FPS: 6.26 | Video Playback FPS: 5.91 | Frames in Buffer: 0
Processing FPS: 6.35 | Video Playback FPS: 6.03 | Frames in Buffer: 0
Processing FPS: 6.42 | Video Playback FPS: 6.13 | Frames in Buffer: 0
Processing FPS: 6.49 | Video Playback FPS: 6.23 | Frames in Buffer: 0
Processing FPS: 6.56 | Video Playback FPS: 6.31 | Frames in Buffer: 0
Processing FPS: 6.62 | Video Playback FPS: 6.39 | Frames in Buffer: 0
Processing FPS: 6.67 | Video Playback FPS: 6.47 | Frames in Buffer: 0
Processing FPS: 6.73 | Video Playback FPS: 6.55 | Frames in Buffer: 0
Processing FPS: 6.77 | Video Playback FPS: 6.59 | Frames in Buffer: 0
Processing FPS: 6.81 | Video Playback FPS: 6.65 | Frames in Buffer: 0
Processing FPS: 6.86 | Video Playback FPS: 6.70 | Frames in Buffer: 0
Processing FPS: 6.89 | Video Playback FPS: 6.75 | Frames in Buffer: 0
Processing FPS: 6.93 | Video Playback FPS: 6.79 | Frames in Buffer: 0
Processing FPS: 6.96 | Video Playback FPS: 6.84 | Frames in Buffer: 0
Processing FPS: 6.99 | Video Playback FPS: 6.86 | Frames in Buffer: 0
Processing FPS: 7.02 | Video Playback FPS: 6.90 | Frames in Buffer: 0
Processing FPS: 7.05 | Video Playback FPS: 6.94 | Frames in Buffer: 0
Processing FPS: 7.08 | Video Playback FPS: 6.96 | Frames in Buffer: 0
