Processing FPS: 6.20 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 5.17 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 5.60 | Video Playback FPS: 3.16 | Frames in Buffer: 0
Processing FPS: 5.94 | Video Playback FPS: 3.97 | Frames in Buffer: 0
Processing FPS: 6.18 | Video Playback FPS: 4.37 | Frames in Buffer: 0
Processing FPS: 6.34 | Video Playback FPS: 4.90 | Frames in Buffer: 0
Processing FPS: 6.49 | Video Playback FPS: 5.21 | Frames in Buffer: 0
Processing FPS: 6.62 | Video Playback FPS: 5.40 | Frames in Buffer: 0
Processing FPS: 6.71 | Video Playback FPS: 5.53 | Frames in Buffer: 0
Processing FPS: 6.80 | Video Playback FPS: 5.53 | Frames in Buffer: 1
Processing FPS: 6.89 | Video Playback FPS: 5.61 | Frames in Buffer: 1
Processing FPS: 6.96 | Video Playback FPS: 5.67 | Frames in Buffer: 1
Processing FPS: 7.02 | Video Playback FPS: 5.71 | Frames in Buffer: 1
Processing FPS: 7.07 | Video Playback FPS: 5.74 | Frames in Buffer: 1
Processing FPS: 7.11 | Video Playback FPS: 5.74 | Frames in Buffer: 2
Processing FPS: 7.15 | Video Playback FPS: 5.76 | Frames in Buffer: 2
Processing FPS: 7.19 | Video Playback FPS: 5.79 | Frames in Buffer: 2
Processing FPS: 7.23 | Video Playback FPS: 5.81 | Frames in Buffer: 2
Processing FPS: 7.27 | Video Playback FPS: 5.81 | Frames in Buffer: 3
Processing FPS: 7.30 | Video Playback FPS: 5.83 | Frames in Buffer: 3
Processing FPS: 7.32 | Video Playback FPS: 5.84 | Frames in Buffer: 3
Processing FPS: 7.35 | Video Playback FPS: 5.86 | Frames in Buffer: 3
Processing FPS: 7.38 | Video Playback FPS: 5.86 | Frames in Buffer: 4
Processing FPS: 7.40 | Video Playback FPS: 5.88 | Frames in Buffer: 4
Processing FPS: 7.42 | Video Playback FPS: 5.89 | Frames in Buffer: 4
Processing FPS: 7.43 | Video Playback FPS: 5.90 | Frames in Buffer: 4
Processing FPS: 7.45 | Video Playback FPS: 5.92 | Frames in Buffer: 4
Processing FPS: 7.47 | Video Playback FPS: 5.92 | Frames in Buffer: 5
Processing FPS: 7.48 | Video Playback FPS: 5.93 | Frames in Buffer: 5
Processing FPS: 7.50 | Video Playback FPS: 5.95 | Frames in Buffer: 5
Processing FPS: 7.51 | Video Playback FPS: 5.96 | Frames in Buffer: 5
Processing FPS: 7.53 | Video Playback FPS: 5.96 | Frames in Buffer: 6
Processing FPS: 7.54 | Video Playback FPS: 5.97 | Frames in Buffer: 6
Processing FPS: 7.55 | Video Playback FPS: 5.98 | Frames in Buffer: 6
Processing FPS: 7.57 | Video Playback FPS: 6.00 | Frames in Buffer: 6
Processing FPS: 7.58 | Video Playback FPS: 6.01 | Frames in Buffer: 6
Processing FPS: 7.58 | Video Playback FPS: 6.01 | Frames in Buffer: 7
Processing FPS: 7.59 | Video Playback FPS: 6.02 | Frames in Buffer: 7
Processing FPS: 7.60 | Video Playback FPS: 6.04 | Frames in Buffer: 7
Processing FPS: 7.61 | Video Playback FPS: 6.05 | Frames in Buffer: 7
Processing FPS: 7.62 | Video Playback FPS: 6.06 | Frames in Buffer: 7
Processing FPS: 7.63 | Video Playback FPS: 6.08 | Frames in Buffer: 7
Processing FPS: 7.64 | Video Playback FPS: 6.08 | Frames in Buffer: 8
Processing FPS: 7.64 | Video Playback FPS: 6.09 | Frames in Buffer: 8
Processing FPS: 7.65 | Video Playback FPS: 6.10 | Frames in Buffer: 8
Processing FPS: 7.65 | Video Playback FPS: 6.12 | Frames in Buffer: 8
Processing FPS: 7.66 | Video Playback FPS: 6.13 | Frames in Buffer: 8
Processing FPS: 7.67 | Video Playback FPS: 6.14 | Frames in Buffer: 8
Processing FPS: 7.67 | Video Playback FPS: 6.14 | Frames in Buffer: 9
Processing FPS: 7.68 | Video Playback FPS: 6.16 | Frames in Buffer: 9
Processing FPS: 7.68 | Video Playback FPS: 6.17 | Frames in Buffer: 9
Processing FPS: 7.69 | Video Playback FPS: 6.18 | Frames in Buffer: 9
Processing FPS: 7.69 | Video Playback FPS: 6.19 | Frames in Buffer: 9
Processing FPS: 7.70 | Video Playback FPS: 6.21 | Frames in Buffer: 9
Processing FPS: 7.70 | Video Playback FPS: 6.21 | Frames in Buffer: 10
Processing FPS: 7.71 | Video Playback FPS: 6.22 | Frames in Buffer: 10
Processing FPS: 7.71 | Video Playback FPS: 6.23 | Frames in Buffer: 10
Processing FPS: 7.72 | Video Playback FPS: 6.25 | Frames in Buffer: 10
Processing FPS: 7.72 | Video Playback FPS: 6.26 | Frames in Buffer: 10
Processing FPS: 7.72 | Video Playback FPS: 6.27 | Frames in Buffer: 10
Processing FPS: 7.73 | Video Playback FPS: 6.29 | Frames in Buffer: 10
Processing FPS: 7.73 | Video Playback FPS: 6.30 | Frames in Buffer: 10
Processing FPS: 7.73 | Video Playback FPS: 6.31 | Frames in Buffer: 10
Processing FPS: 7.73 | Video Playback FPS: 6.31 | Frames in Buffer: 11
Processing FPS: 7.74 | Video Playback FPS: 6.33 | Frames in Buffer: 11
Processing FPS: 7.74 | Video Playback FPS: 6.34 | Frames in Buffer: 11
Processing FPS: 7.74 | Video Playback FPS: 6.35 | Frames in Buffer: 11
Processing FPS: 7.75 | Video Playback FPS: 6.37 | Frames in Buffer: 11
