Processing FPS: 6.03 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 4.94 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 5.90 | Video Playback FPS: 3.06 | Frames in Buffer: 0
Processing FPS: 6.80 | Video Playback FPS: 4.36 | Frames in Buffer: 0
Processing FPS: 7.61 | Video Playback FPS: 5.52 | Frames in Buffer: 0
Processing FPS: 8.37 | Video Playback FPS: 6.58 | Frames in Buffer: 0
Processing FPS: 9.08 | Video Playback FPS: 7.54 | Frames in Buffer: 0
Processing FPS: 9.76 | Video Playback FPS: 8.46 | Frames in Buffer: 0
Processing FPS: 10.36 | Video Playback FPS: 9.26 | Frames in Buffer: 0
Processing FPS: 10.95 | Video Playback FPS: 10.00 | Frames in Buffer: 0
Processing FPS: 11.51 | Video Playback FPS: 10.71 | Frames in Buffer: 0
Processing FPS: 12.00 | Video Playback FPS: 11.36 | Frames in Buffer: 0
Processing FPS: 12.50 | Video Playback FPS: 11.95 | Frames in Buffer: 0
Processing FPS: 12.97 | Video Playback FPS: 12.52 | Frames in Buffer: 0
Processing FPS: 13.40 | Video Playback FPS: 13.04 | Frames in Buffer: 0
Processing FPS: 13.83 | Video Playback FPS: 13.56 | Frames in Buffer: 0
Processing FPS: 14.19 | Video Playback FPS: 14.03 | Frames in Buffer: 0
Processing FPS: 14.56 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.92 | Video Playback FPS: 14.85 | Frames in Buffer: 0
Processing FPS: 15.28 | Video Playback FPS: 15.27 | Frames in Buffer: 0
Processing FPS: 15.59 | Video Playback FPS: 15.63 | Frames in Buffer: 0
Processing FPS: 15.91 | Video Playback FPS: 15.98 | Frames in Buffer: 0
Processing FPS: 16.22 | Video Playback FPS: 16.35 | Frames in Buffer: 0
Processing FPS: 16.50 | Video Playback FPS: 16.66 | Frames in Buffer: 0
Processing FPS: 16.75 | Video Playback FPS: 16.98 | Frames in Buffer: 0
Processing FPS: 17.00 | Video Playback FPS: 17.22 | Frames in Buffer: 0
Processing FPS: 17.25 | Video Playback FPS: 17.49 | Frames in Buffer: 0
Processing FPS: 17.47 | Video Playback FPS: 17.74 | Frames in Buffer: 0
Processing FPS: 17.72 | Video Playback FPS: 18.00 | Frames in Buffer: 0
Processing FPS: 17.93 | Video Playback FPS: 18.23 | Frames in Buffer: 0
Processing FPS: 18.13 | Video Playback FPS: 18.45 | Frames in Buffer: 0
Processing FPS: 18.30 | Video Playback FPS: 18.68 | Frames in Buffer: 0
Processing FPS: 18.50 | Video Playback FPS: 18.85 | Frames in Buffer: 0
Processing FPS: 18.67 | Video Playback FPS: 19.03 | Frames in Buffer: 0
Processing FPS: 18.87 | Video Playback FPS: 19.25 | Frames in Buffer: 0
Processing FPS: 19.02 | Video Playback FPS: 19.44 | Frames in Buffer: 0
Processing FPS: 19.17 | Video Playback FPS: 19.62 | Frames in Buffer: 0
Processing FPS: 19.32 | Video Playback FPS: 19.76 | Frames in Buffer: 0
Processing FPS: 19.50 | Video Playback FPS: 19.91 | Frames in Buffer: 0
Processing FPS: 19.67 | Video Playback FPS: 20.10 | Frames in Buffer: 0
Processing FPS: 19.82 | Video Playback FPS: 20.26 | Frames in Buffer: 0
Processing FPS: 19.98 | Video Playback FPS: 20.43 | Frames in Buffer: 0
Processing FPS: 20.10 | Video Playback FPS: 20.54 | Frames in Buffer: 0
Processing FPS: 20.22 | Video Playback FPS: 20.70 | Frames in Buffer: 0
Processing FPS: 20.33 | Video Playback FPS: 20.79 | Frames in Buffer: 0
Processing FPS: 20.42 | Video Playback FPS: 20.90 | Frames in Buffer: 0
Processing FPS: 20.55 | Video Playback FPS: 21.01 | Frames in Buffer: 0
Processing FPS: 20.67 | Video Playback FPS: 21.13 | Frames in Buffer: 0
Processing FPS: 20.80 | Video Playback FPS: 21.25 | Frames in Buffer: 0
Processing FPS: 20.92 | Video Playback FPS: 21.39 | Frames in Buffer: 0
Processing FPS: 21.05 | Video Playback FPS: 21.51 | Frames in Buffer: 0
Processing FPS: 21.15 | Video Playback FPS: 21.62 | Frames in Buffer: 0
Processing FPS: 21.22 | Video Playback FPS: 21.71 | Frames in Buffer: 0
Processing FPS: 21.33 | Video Playback FPS: 21.80 | Frames in Buffer: 0
Processing FPS: 21.43 | Video Playback FPS: 21.90 | Frames in Buffer: 0
Processing FPS: 21.53 | Video Playback FPS: 22.00 | Frames in Buffer: 0
Processing FPS: 21.61 | Video Playback FPS: 22.11 | Frames in Buffer: 0
Processing FPS: 21.68 | Video Playback FPS: 22.18 | Frames in Buffer: 0
Processing FPS: 21.74 | Video Playback FPS: 22.24 | Frames in Buffer: 0
Processing FPS: 21.83 | Video Playback FPS: 22.29 | Frames in Buffer: 0
Processing FPS: 21.92 | Video Playback FPS: 22.39 | Frames in Buffer: 0
Processing FPS: 22.01 | Video Playback FPS: 22.49 | Frames in Buffer: 0
Processing FPS: 22.10 | Video Playback FPS: 22.57 | Frames in Buffer: 0
Processing FPS: 22.20 | Video Playback FPS: 22.67 | Frames in Buffer: 0
Processing FPS: 22.26 | Video Playback FPS: 22.76 | Frames in Buffer: 0
