Processing FPS: 5.91 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 4.87 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 5.82 | Video Playback FPS: 0.00 | Frames in Buffer: 2
Processing FPS: 6.69 | Video Playback FPS: 3.13 | Frames in Buffer: 1
Processing FPS: 7.49 | Video Playback FPS: 6.08 | Frames in Buffer: 0
Processing FPS: 8.20 | Video Playback FPS: 7.02 | Frames in Buffer: 0
Processing FPS: 8.89 | Video Playback FPS: 7.02 | Frames in Buffer: 1
Processing FPS: 9.55 | Video Playback FPS: 7.61 | Frames in Buffer: 1
Processing FPS: 10.15 | Video Playback FPS: 7.61 | Frames in Buffer: 2
Processing FPS: 10.72 | Video Playback FPS: 7.61 | Frames in Buffer: 3
Processing FPS: 11.25 | Video Playback FPS: 7.98 | Frames in Buffer: 3
Processing FPS: 11.77 | Video Playback FPS: 7.98 | Frames in Buffer: 4
Processing FPS: 12.25 | Video Playback FPS: 8.25 | Frames in Buffer: 4
Processing FPS: 12.67 | Video Playback FPS: 8.25 | Frames in Buffer: 5
Processing FPS: 13.09 | Video Playback FPS: 8.25 | Frames in Buffer: 6
Processing FPS: 13.50 | Video Playback FPS: 8.45 | Frames in Buffer: 6
Processing FPS: 13.90 | Video Playback FPS: 8.45 | Frames in Buffer: 7
Processing FPS: 14.27 | Video Playback FPS: 8.45 | Frames in Buffer: 8
Processing FPS: 14.61 | Video Playback FPS: 8.60 | Frames in Buffer: 8
Processing FPS: 14.92 | Video Playback FPS: 8.60 | Frames in Buffer: 9
Processing FPS: 15.23 | Video Playback FPS: 8.60 | Frames in Buffer: 10
Processing FPS: 15.51 | Video Playback FPS: 8.72 | Frames in Buffer: 10
Processing FPS: 15.81 | Video Playback FPS: 8.72 | Frames in Buffer: 11
Processing FPS: 16.09 | Video Playback FPS: 8.82 | Frames in Buffer: 11
Processing FPS: 16.33 | Video Playback FPS: 8.82 | Frames in Buffer: 12
Processing FPS: 16.57 | Video Playback FPS: 8.82 | Frames in Buffer: 13
Processing FPS: 16.81 | Video Playback FPS: 8.90 | Frames in Buffer: 13
Processing FPS: 17.04 | Video Playback FPS: 8.90 | Frames in Buffer: 14
Processing FPS: 17.25 | Video Playback FPS: 8.90 | Frames in Buffer: 15
Processing FPS: 17.46 | Video Playback FPS: 8.97 | Frames in Buffer: 15
Processing FPS: 17.69 | Video Playback FPS: 8.97 | Frames in Buffer: 16
Processing FPS: 17.90 | Video Playback FPS: 8.97 | Frames in Buffer: 17
Processing FPS: 18.10 | Video Playback FPS: 9.03 | Frames in Buffer: 17
Processing FPS: 18.29 | Video Playback FPS: 9.03 | Frames in Buffer: 18
Processing FPS: 18.44 | Video Playback FPS: 9.03 | Frames in Buffer: 19
Processing FPS: 18.61 | Video Playback FPS: 9.09 | Frames in Buffer: 19
Processing FPS: 18.78 | Video Playback FPS: 9.09 | Frames in Buffer: 20
Processing FPS: 18.94 | Video Playback FPS: 9.09 | Frames in Buffer: 21
Processing FPS: 19.08 | Video Playback FPS: 9.12 | Frames in Buffer: 21
Processing FPS: 19.24 | Video Playback FPS: 9.12 | Frames in Buffer: 22
Processing FPS: 19.40 | Video Playback FPS: 9.12 | Frames in Buffer: 23
Processing FPS: 19.53 | Video Playback FPS: 9.17 | Frames in Buffer: 23
Processing FPS: 19.67 | Video Playback FPS: 9.17 | Frames in Buffer: 24
Processing FPS: 19.80 | Video Playback FPS: 9.22 | Frames in Buffer: 24
Processing FPS: 19.94 | Video Playback FPS: 9.22 | Frames in Buffer: 25
Processing FPS: 20.07 | Video Playback FPS: 9.22 | Frames in Buffer: 26
Processing FPS: 20.20 | Video Playback FPS: 9.27 | Frames in Buffer: 26
Processing FPS: 20.32 | Video Playback FPS: 9.27 | Frames in Buffer: 27
Processing FPS: 20.46 | Video Playback FPS: 9.27 | Frames in Buffer: 28
Processing FPS: 20.55 | Video Playback FPS: 9.31 | Frames in Buffer: 28
Processing FPS: 20.66 | Video Playback FPS: 9.31 | Frames in Buffer: 29
Processing FPS: 20.74 | Video Playback FPS: 9.31 | Frames in Buffer: 30
Processing FPS: 20.83 | Video Playback FPS: 9.34 | Frames in Buffer: 30
Processing FPS: 20.91 | Video Playback FPS: 9.34 | Frames in Buffer: 31
Processing FPS: 21.01 | Video Playback FPS: 9.38 | Frames in Buffer: 31
Processing FPS: 21.11 | Video Playback FPS: 9.38 | Frames in Buffer: 32
Processing FPS: 21.20 | Video Playback FPS: 9.38 | Frames in Buffer: 33
Processing FPS: 21.27 | Video Playback FPS: 9.43 | Frames in Buffer: 33
Processing FPS: 21.38 | Video Playback FPS: 9.43 | Frames in Buffer: 34
Processing FPS: 21.47 | Video Playback FPS: 9.43 | Frames in Buffer: 35
Processing FPS: 21.55 | Video Playback FPS: 9.47 | Frames in Buffer: 35
Processing FPS: 21.64 | Video Playback FPS: 9.47 | Frames in Buffer: 36
Processing FPS: 21.70 | Video Playback FPS: 9.51 | Frames in Buffer: 36
Processing FPS: 21.78 | Video Playback FPS: 9.51 | Frames in Buffer: 37
Processing FPS: 21.86 | Video Playback FPS: 9.51 | Frames in Buffer: 38
Processing FPS: 21.91 | Video Playback FPS: 9.55 | Frames in Buffer: 38
Processing FPS: 21.98 | Video Playback FPS: 9.55 | Frames in Buffer: 39
Processing FPS: 22.07 | Video Playback FPS: 9.55 | Frames in Buffer: 40
Processing FPS: 22.15 | Video Playback FPS: 9.58 | Frames in Buffer: 40
Processing FPS: 22.21 | Video Playback FPS: 9.58 | Frames in Buffer: 41
Processing FPS: 22.29 | Video Playback FPS: 9.62 | Frames in Buffer: 41
Processing FPS: 22.37 | Video Playback FPS: 9.62 | Frames in Buffer: 42
Processing FPS: 22.44 | Video Playback FPS: 9.62 | Frames in Buffer: 43
Processing FPS: 22.52 | Video Playback FPS: 9.65 | Frames in Buffer: 43
Processing FPS: 22.59 | Video Playback FPS: 9.65 | Frames in Buffer: 44
Processing FPS: 22.65 | Video Playback FPS: 9.65 | Frames in Buffer: 45
Processing FPS: 22.71 | Video Playback FPS: 9.69 | Frames in Buffer: 45
Processing FPS: 22.76 | Video Playback FPS: 9.69 | Frames in Buffer: 46
Processing FPS: 22.82 | Video Playback FPS: 9.73 | Frames in Buffer: 46
Processing FPS: 22.86 | Video Playback FPS: 9.73 | Frames in Buffer: 47
Processing FPS: 22.92 | Video Playback FPS: 9.73 | Frames in Buffer: 48
Processing FPS: 22.97 | Video Playback FPS: 9.77 | Frames in Buffer: 48
Processing FPS: 23.02 | Video Playback FPS: 9.77 | Frames in Buffer: 49
Processing FPS: 23.08 | Video Playback FPS: 9.80 | Frames in Buffer: 49
Processing FPS: 23.14 | Video Playback FPS: 9.80 | Frames in Buffer: 50
Processing FPS: 23.18 | Video Playback FPS: 9.80 | Frames in Buffer: 51
Processing FPS: 23.20 | Video Playback FPS: 9.84 | Frames in Buffer: 51
Processing FPS: 23.25 | Video Playback FPS: 9.84 | Frames in Buffer: 52
Processing FPS: 23.29 | Video Playback FPS: 9.88 | Frames in Buffer: 52
Processing FPS: 23.34 | Video Playback FPS: 9.88 | Frames in Buffer: 53
Processing FPS: 23.39 | Video Playback FPS: 9.88 | Frames in Buffer: 54
Processing FPS: 23.44 | Video Playback FPS: 9.91 | Frames in Buffer: 54
Processing FPS: 23.48 | Video Playback FPS: 9.91 | Frames in Buffer: 55
Processing FPS: 23.53 | Video Playback FPS: 9.95 | Frames in Buffer: 55
Processing FPS: 23.57 | Video Playback FPS: 9.95 | Frames in Buffer: 56
Processing FPS: 23.62 | Video Playback FPS: 9.95 | Frames in Buffer: 57
Processing FPS: 23.65 | Video Playback FPS: 9.98 | Frames in Buffer: 57
Processing FPS: 23.70 | Video Playback FPS: 9.98 | Frames in Buffer: 58
Processing FPS: 24.55 | Video Playback FPS: 10.02 | Frames in Buffer: 58
Processing FPS: 24.37 | Video Playback FPS: 10.02 | Frames in Buffer: 59
Processing FPS: 26.24 | Video Playback FPS: 10.02 | Frames in Buffer: 60
Processing FPS: 28.31 | Video Playback FPS: 10.05 | Frames in Buffer: 60
Processing FPS: 28.34 | Video Playback FPS: 10.05 | Frames in Buffer: 61
Processing FPS: 28.33 | Video Playback FPS: 10.09 | Frames in Buffer: 61
Processing FPS: 28.35 | Video Playback FPS: 10.09 | Frames in Buffer: 62
Processing FPS: 28.41 | Video Playback FPS: 10.09 | Frames in Buffer: 63
Processing FPS: 28.44 | Video Playback FPS: 10.12 | Frames in Buffer: 63
Processing FPS: 28.44 | Video Playback FPS: 10.12 | Frames in Buffer: 64
