Processing FPS: 6.96 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 7.91 | Video Playback FPS: 8.93 | Frames in Buffer: 0
Processing FPS: 8.65 | Video Playback FPS: 11.48 | Frames in Buffer: 0
Processing FPS: 9.25 | Video Playback FPS: 12.59 | Frames in Buffer: 0
Processing FPS: 9.71 | Video Playback FPS: 12.62 | Frames in Buffer: 0
Processing FPS: 10.11 | Video Playback FPS: 12.63 | Frames in Buffer: 0
Processing FPS: 10.46 | Video Playback FPS: 13.05 | Frames in Buffer: 0
Processing FPS: 10.75 | Video Playback FPS: 13.01 | Frames in Buffer: 0
Processing FPS: 11.00 | Video Playback FPS: 13.31 | Frames in Buffer: 0
Processing FPS: 11.21 | Video Playback FPS: 12.93 | Frames in Buffer: 0
Processing FPS: 11.39 | Video Playback FPS: 13.44 | Frames in Buffer: 0
Processing FPS: 11.57 | Video Playback FPS: 13.61 | Frames in Buffer: 0
Processing FPS: 11.72 | Video Playback FPS: 13.53 | Frames in Buffer: 0
Processing FPS: 11.87 | Video Playback FPS: 13.67 | Frames in Buffer: 0
Processing FPS: 11.98 | Video Playback FPS: 13.81 | Frames in Buffer: 0
Processing FPS: 12.09 | Video Playback FPS: 13.73 | Frames in Buffer: 0
Processing FPS: 12.21 | Video Playback FPS: 13.65 | Frames in Buffer: 0
Processing FPS: 12.30 | Video Playback FPS: 13.76 | Frames in Buffer: 0
Processing FPS: 12.38 | Video Playback FPS: 13.87 | Frames in Buffer: 0
Processing FPS: 12.46 | Video Playback FPS: 13.87 | Frames in Buffer: 1
Processing FPS: 12.52 | Video Playback FPS: 13.90 | Frames in Buffer: 0
Processing FPS: 12.60 | Video Playback FPS: 13.98 | Frames in Buffer: 0
Processing FPS: 12.66 | Video Playback FPS: 13.91 | Frames in Buffer: 0
Processing FPS: 12.71 | Video Playback FPS: 13.97 | Frames in Buffer: 0
Processing FPS: 12.77 | Video Playback FPS: 14.04 | Frames in Buffer: 0
Processing FPS: 12.82 | Video Playback FPS: 13.97 | Frames in Buffer: 0
Processing FPS: 12.87 | Video Playback FPS: 14.15 | Frames in Buffer: 0
Processing FPS: 12.93 | Video Playback FPS: 14.08 | Frames in Buffer: 0
Processing FPS: 12.97 | Video Playback FPS: 14.03 | Frames in Buffer: 0
Processing FPS: 13.01 | Video Playback FPS: 14.08 | Frames in Buffer: 0
Processing FPS: 13.05 | Video Playback FPS: 14.02 | Frames in Buffer: 0
Processing FPS: 13.10 | Video Playback FPS: 14.18 | Frames in Buffer: 0
Processing FPS: 13.14 | Video Playback FPS: 14.03 | Frames in Buffer: 0
Processing FPS: 13.18 | Video Playback FPS: 14.17 | Frames in Buffer: 0
Processing FPS: 13.21 | Video Playback FPS: 14.21 | Frames in Buffer: 0
Processing FPS: 13.24 | Video Playback FPS: 14.25 | Frames in Buffer: 0
Processing FPS: 13.27 | Video Playback FPS: 14.20 | Frames in Buffer: 0
Processing FPS: 13.30 | Video Playback FPS: 14.23 | Frames in Buffer: 0
Processing FPS: 13.32 | Video Playback FPS: 14.19 | Frames in Buffer: 0
Processing FPS: 13.35 | Video Playback FPS: 14.22 | Frames in Buffer: 0
Processing FPS: 13.37 | Video Playback FPS: 14.18 | Frames in Buffer: 0
Processing FPS: 13.39 | Video Playback FPS: 14.22 | Frames in Buffer: 0
Processing FPS: 13.40 | Video Playback FPS: 14.17 | Frames in Buffer: 0
Processing FPS: 13.42 | Video Playback FPS: 14.13 | Frames in Buffer: 0
Processing FPS: 13.44 | Video Playback FPS: 14.23 | Frames in Buffer: 0
Processing FPS: 13.46 | Video Playback FPS: 14.26 | Frames in Buffer: 0
Processing FPS: 13.48 | Video Playback FPS: 14.22 | Frames in Buffer: 0
Processing FPS: 13.50 | Video Playback FPS: 14.18 | Frames in Buffer: 0
Processing FPS: 13.52 | Video Playback FPS: 14.21 | Frames in Buffer: 0
Processing FPS: 13.54 | Video Playback FPS: 14.24 | Frames in Buffer: 0
Processing FPS: 13.55 | Video Playback FPS: 14.21 | Frames in Buffer: 0
Processing FPS: 13.57 | Video Playback FPS: 14.23 | Frames in Buffer: 0
Processing FPS: 13.58 | Video Playback FPS: 14.19 | Frames in Buffer: 0
Processing FPS: 13.60 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.61 | Video Playback FPS: 14.25 | Frames in Buffer: 0
Processing FPS: 13.62 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.64 | Video Playback FPS: 14.24 | Frames in Buffer: 0
Processing FPS: 13.65 | Video Playback FPS: 14.21 | Frames in Buffer: 0
Processing FPS: 13.66 | Video Playback FPS: 14.29 | Frames in Buffer: 0
Processing FPS: 13.67 | Video Playback FPS: 14.26 | Frames in Buffer: 0
Processing FPS: 13.68 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.69 | Video Playback FPS: 14.30 | Frames in Buffer: 0
Processing FPS: 13.70 | Video Playback FPS: 14.27 | Frames in Buffer: 0
Processing FPS: 13.71 | Video Playback FPS: 14.29 | Frames in Buffer: 0
Processing FPS: 13.72 | Video Playback FPS: 14.26 | Frames in Buffer: 0
Processing FPS: 13.73 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.75 | Video Playback FPS: 14.25 | Frames in Buffer: 0
Processing FPS: 13.76 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 13.77 | Video Playback FPS: 14.29 | Frames in Buffer: 0
Processing FPS: 13.78 | Video Playback FPS: 14.27 | Frames in Buffer: 0
Processing FPS: 13.79 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 13.80 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 13.82 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 13.82 | Video Playback FPS: 14.30 | Frames in Buffer: 0
Processing FPS: 13.84 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 13.84 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 13.85 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 13.86 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 13.86 | Video Playback FPS: 14.30 | Frames in Buffer: 0
Processing FPS: 13.86 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 13.87 | Video Playback FPS: 14.26 | Frames in Buffer: 0
Processing FPS: 13.87 | Video Playback FPS: 14.27 | Frames in Buffer: 0
Processing FPS: 13.87 | Video Playback FPS: 14.29 | Frames in Buffer: 0
Processing FPS: 13.88 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 13.88 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.88 | Video Playback FPS: 14.30 | Frames in Buffer: 0
Processing FPS: 13.88 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 13.89 | Video Playback FPS: 14.29 | Frames in Buffer: 0
Processing FPS: 13.90 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 13.90 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 13.91 | Video Playback FPS: 14.30 | Frames in Buffer: 0
Processing FPS: 13.91 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.92 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 13.92 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.93 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 13.93 | Video Playback FPS: 14.30 | Frames in Buffer: 0
Processing FPS: 13.94 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 13.94 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.54 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.40 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.39 | Video Playback FPS: 14.30 | Frames in Buffer: 0
Processing FPS: 14.40 | Video Playback FPS: 14.37 | Frames in Buffer: 0
Processing FPS: 14.41 | Video Playback FPS: 14.40 | Frames in Buffer: 0
Processing FPS: 14.41 | Video Playback FPS: 14.40 | Frames in Buffer: 0
Processing FPS: 14.41 | Video Playback FPS: 14.40 | Frames in Buffer: 0
Processing FPS: 14.42 | Video Playback FPS: 14.43 | Frames in Buffer: 0
Processing FPS: 14.42 | Video Playback FPS: 14.40 | Frames in Buffer: 0
Processing FPS: 14.42 | Video Playback FPS: 14.43 | Frames in Buffer: 0
Processing FPS: 14.42 | Video Playback FPS: 14.40 | Frames in Buffer: 0
Processing FPS: 14.42 | Video Playback FPS: 14.46 | Frames in Buffer: 0
Processing FPS: 14.42 | Video Playback FPS: 14.43 | Frames in Buffer: 0
Processing FPS: 14.41 | Video Playback FPS: 14.43 | Frames in Buffer: 0
