Processing FPS: 6.72 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 5.40 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 6.39 | Video Playback FPS: 0.00 | Frames in Buffer: 2
Processing FPS: 7.27 | Video Playback FPS: 4.72 | Frames in Buffer: 0
Processing FPS: 8.07 | Video Playback FPS: 5.89 | Frames in Buffer: 0
Processing FPS: 8.78 | Video Playback FPS: 6.85 | Frames in Buffer: 0
Processing FPS: 9.40 | Video Playback FPS: 6.85 | Frames in Buffer: 1
Processing FPS: 10.01 | Video Playback FPS: 7.44 | Frames in Buffer: 1
Processing FPS: 10.57 | Video Playback FPS: 7.44 | Frames in Buffer: 2
Processing FPS: 11.07 | Video Playback FPS: 7.84 | Frames in Buffer: 2
Processing FPS: 11.56 | Video Playback FPS: 7.84 | Frames in Buffer: 3
Processing FPS: 12.00 | Video Playback FPS: 8.11 | Frames in Buffer: 3
Processing FPS: 12.41 | Video Playback FPS: 8.11 | Frames in Buffer: 4
Processing FPS: 12.78 | Video Playback FPS: 8.31 | Frames in Buffer: 4
Processing FPS: 13.14 | Video Playback FPS: 8.31 | Frames in Buffer: 5
Processing FPS: 13.46 | Video Playback FPS: 8.31 | Frames in Buffer: 6
Processing FPS: 13.77 | Video Playback FPS: 8.46 | Frames in Buffer: 6
Processing FPS: 14.03 | Video Playback FPS: 8.46 | Frames in Buffer: 7
Processing FPS: 14.31 | Video Playback FPS: 8.58 | Frames in Buffer: 7
Processing FPS: 14.57 | Video Playback FPS: 8.58 | Frames in Buffer: 8
Processing FPS: 14.81 | Video Playback FPS: 8.68 | Frames in Buffer: 8
Processing FPS: 15.04 | Video Playback FPS: 8.68 | Frames in Buffer: 9
Processing FPS: 15.26 | Video Playback FPS: 8.68 | Frames in Buffer: 10
Processing FPS: 15.47 | Video Playback FPS: 8.77 | Frames in Buffer: 10
Processing FPS: 15.67 | Video Playback FPS: 8.77 | Frames in Buffer: 11
Processing FPS: 15.86 | Video Playback FPS: 8.84 | Frames in Buffer: 11
Processing FPS: 16.01 | Video Playback FPS: 8.84 | Frames in Buffer: 12
Processing FPS: 16.17 | Video Playback FPS: 8.91 | Frames in Buffer: 12
Processing FPS: 16.32 | Video Playback FPS: 8.91 | Frames in Buffer: 13
Processing FPS: 16.49 | Video Playback FPS: 8.91 | Frames in Buffer: 14
Processing FPS: 16.64 | Video Playback FPS: 8.96 | Frames in Buffer: 14
Processing FPS: 16.79 | Video Playback FPS: 8.96 | Frames in Buffer: 15
Processing FPS: 16.94 | Video Playback FPS: 9.02 | Frames in Buffer: 15
Processing FPS: 17.09 | Video Playback FPS: 9.02 | Frames in Buffer: 16
Processing FPS: 17.20 | Video Playback FPS: 9.02 | Frames in Buffer: 17
Processing FPS: 17.33 | Video Playback FPS: 9.06 | Frames in Buffer: 17
Processing FPS: 17.43 | Video Playback FPS: 9.06 | Frames in Buffer: 18
Processing FPS: 17.54 | Video Playback FPS: 9.11 | Frames in Buffer: 18
Processing FPS: 17.65 | Video Playback FPS: 9.11 | Frames in Buffer: 19
Processing FPS: 17.75 | Video Playback FPS: 9.15 | Frames in Buffer: 19
Processing FPS: 17.85 | Video Playback FPS: 9.15 | Frames in Buffer: 20
Processing FPS: 17.96 | Video Playback FPS: 9.15 | Frames in Buffer: 21
Processing FPS: 18.05 | Video Playback FPS: 9.18 | Frames in Buffer: 21
Processing FPS: 18.14 | Video Playback FPS: 9.18 | Frames in Buffer: 22
Processing FPS: 18.22 | Video Playback FPS: 9.23 | Frames in Buffer: 22
Processing FPS: 18.29 | Video Playback FPS: 9.23 | Frames in Buffer: 23
Processing FPS: 18.37 | Video Playback FPS: 9.27 | Frames in Buffer: 23
Processing FPS: 18.45 | Video Playback FPS: 9.27 | Frames in Buffer: 24
Processing FPS: 18.53 | Video Playback FPS: 9.30 | Frames in Buffer: 24
Processing FPS: 18.61 | Video Playback FPS: 9.30 | Frames in Buffer: 25
Processing FPS: 18.68 | Video Playback FPS: 9.30 | Frames in Buffer: 26
Processing FPS: 18.75 | Video Playback FPS: 9.34 | Frames in Buffer: 26
