Processing FPS: 6.05 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 4.90 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 5.92 | Video Playback FPS: 3.04 | Frames in Buffer: 0
Processing FPS: 6.87 | Video Playback FPS: 4.38 | Frames in Buffer: 0
Processing FPS: 7.76 | Video Playback FPS: 5.59 | Frames in Buffer: 0
Processing FPS: 8.59 | Video Playback FPS: 6.72 | Frames in Buffer: 0
Processing FPS: 9.37 | Video Playback FPS: 7.77 | Frames in Buffer: 0
Processing FPS: 10.11 | Video Playback FPS: 8.73 | Frames in Buffer: 0
Processing FPS: 10.84 | Video Playback FPS: 9.65 | Frames in Buffer: 0
Processing FPS: 11.53 | Video Playback FPS: 10.53 | Frames in Buffer: 0
Processing FPS: 12.22 | Video Playback FPS: 11.38 | Frames in Buffer: 0
Processing FPS: 12.88 | Video Playback FPS: 12.20 | Frames in Buffer: 0
Processing FPS: 13.46 | Video Playback FPS: 12.93 | Frames in Buffer: 0
Processing FPS: 13.99 | Video Playback FPS: 13.62 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.23 | Frames in Buffer: 0
Processing FPS: 15.03 | Video Playback FPS: 14.83 | Frames in Buffer: 0
Processing FPS: 15.55 | Video Playback FPS: 15.44 | Frames in Buffer: 0
Processing FPS: 16.00 | Video Playback FPS: 16.03 | Frames in Buffer: 0
Processing FPS: 16.50 | Video Playback FPS: 16.54 | Frames in Buffer: 0
Processing FPS: 16.96 | Video Playback FPS: 17.09 | Frames in Buffer: 0
Processing FPS: 17.37 | Video Playback FPS: 17.61 | Frames in Buffer: 0
Processing FPS: 17.82 | Video Playback FPS: 18.07 | Frames in Buffer: 0
Processing FPS: 18.25 | Video Playback FPS: 18.57 | Frames in Buffer: 0
Processing FPS: 18.59 | Video Playback FPS: 19.02 | Frames in Buffer: 0
Processing FPS: 18.98 | Video Playback FPS: 19.40 | Frames in Buffer: 0
Processing FPS: 19.35 | Video Playback FPS: 19.81 | Frames in Buffer: 0
Processing FPS: 19.68 | Video Playback FPS: 20.23 | Frames in Buffer: 0
Processing FPS: 20.03 | Video Playback FPS: 20.56 | Frames in Buffer: 0
Processing FPS: 20.38 | Video Playback FPS: 20.95 | Frames in Buffer: 0
Processing FPS: 20.72 | Video Playback FPS: 21.34 | Frames in Buffer: 0
Processing FPS: 21.04 | Video Playback FPS: 21.69 | Frames in Buffer: 0
Processing FPS: 21.34 | Video Playback FPS: 22.00 | Frames in Buffer: 0
Processing FPS: 21.63 | Video Playback FPS: 22.34 | Frames in Buffer: 0
Processing FPS: 21.90 | Video Playback FPS: 22.61 | Frames in Buffer: 0
Processing FPS: 22.18 | Video Playback FPS: 22.93 | Frames in Buffer: 0
Processing FPS: 22.42 | Video Playback FPS: 23.21 | Frames in Buffer: 0
Processing FPS: 22.65 | Video Playback FPS: 23.49 | Frames in Buffer: 0
Processing FPS: 22.92 | Video Playback FPS: 23.70 | Frames in Buffer: 0
