Processing FPS: 6.20 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 5.05 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 6.11 | Video Playback FPS: 0.00 | Frames in Buffer: 2
Processing FPS: 7.11 | Video Playback FPS: 0.00 | Frames in Buffer: 3
Processing FPS: 8.06 | Video Playback FPS: 0.00 | Frames in Buffer: 4
Processing FPS: 8.91 | Video Playback FPS: 3.15 | Frames in Buffer: 3
Processing FPS: 9.73 | Video Playback FPS: 9.04 | Frames in Buffer: 0
Processing FPS: 10.54 | Video Playback FPS: 10.22 | Frames in Buffer: 0
Processing FPS: 11.32 | Video Playback FPS: 10.22 | Frames in Buffer: 1
Processing FPS: 12.04 | Video Playback FPS: 11.08 | Frames in Buffer: 1
Processing FPS: 12.71 | Video Playback FPS: 12.02 | Frames in Buffer: 1
Processing FPS: 13.34 | Video Playback FPS: 12.78 | Frames in Buffer: 1
Processing FPS: 13.98 | Video Playback FPS: 12.78 | Frames in Buffer: 2
Processing FPS: 14.56 | Video Playback FPS: 13.40 | Frames in Buffer: 2
Processing FPS: 15.15 | Video Playback FPS: 13.92 | Frames in Buffer: 2
Processing FPS: 15.70 | Video Playback FPS: 13.92 | Frames in Buffer: 3
Processing FPS: 16.24 | Video Playback FPS: 14.35 | Frames in Buffer: 3
Processing FPS: 16.75 | Video Playback FPS: 14.35 | Frames in Buffer: 4
Processing FPS: 17.19 | Video Playback FPS: 14.74 | Frames in Buffer: 4
Processing FPS: 17.65 | Video Playback FPS: 14.74 | Frames in Buffer: 5
Processing FPS: 18.09 | Video Playback FPS: 15.08 | Frames in Buffer: 5
Processing FPS: 18.52 | Video Playback FPS: 15.38 | Frames in Buffer: 5
Processing FPS: 18.91 | Video Playback FPS: 15.38 | Frames in Buffer: 6
Processing FPS: 19.33 | Video Playback FPS: 15.65 | Frames in Buffer: 6
Processing FPS: 19.70 | Video Playback FPS: 15.65 | Frames in Buffer: 7
Processing FPS: 20.07 | Video Playback FPS: 15.90 | Frames in Buffer: 7
Processing FPS: 20.42 | Video Playback FPS: 15.90 | Frames in Buffer: 8
Processing FPS: 20.71 | Video Playback FPS: 16.13 | Frames in Buffer: 8
Processing FPS: 21.05 | Video Playback FPS: 16.13 | Frames in Buffer: 9
Processing FPS: 21.37 | Video Playback FPS: 16.34 | Frames in Buffer: 9
Processing FPS: 21.69 | Video Playback FPS: 16.34 | Frames in Buffer: 10
Processing FPS: 21.94 | Video Playback FPS: 16.50 | Frames in Buffer: 10
Processing FPS: 22.23 | Video Playback FPS: 16.70 | Frames in Buffer: 10
Processing FPS: 22.49 | Video Playback FPS: 16.70 | Frames in Buffer: 11
Processing FPS: 22.79 | Video Playback FPS: 16.89 | Frames in Buffer: 11
Processing FPS: 23.06 | Video Playback FPS: 16.89 | Frames in Buffer: 12
Processing FPS: 23.27 | Video Playback FPS: 17.06 | Frames in Buffer: 12
Processing FPS: 23.52 | Video Playback FPS: 17.06 | Frames in Buffer: 13
Processing FPS: 23.76 | Video Playback FPS: 17.24 | Frames in Buffer: 13
Processing FPS: 23.96 | Video Playback FPS: 17.40 | Frames in Buffer: 13
Processing FPS: 24.19 | Video Playback FPS: 17.40 | Frames in Buffer: 14
Processing FPS: 24.44 | Video Playback FPS: 17.56 | Frames in Buffer: 14
Processing FPS: 24.68 | Video Playback FPS: 17.56 | Frames in Buffer: 15
Processing FPS: 24.90 | Video Playback FPS: 17.71 | Frames in Buffer: 15
Processing FPS: 25.10 | Video Playback FPS: 17.71 | Frames in Buffer: 16
Processing FPS: 25.28 | Video Playback FPS: 17.87 | Frames in Buffer: 16
Processing FPS: 25.47 | Video Playback FPS: 18.02 | Frames in Buffer: 16
Processing FPS: 25.67 | Video Playback FPS: 18.02 | Frames in Buffer: 17
Processing FPS: 25.86 | Video Playback FPS: 18.17 | Frames in Buffer: 17
Processing FPS: 26.03 | Video Playback FPS: 18.17 | Frames in Buffer: 18
Processing FPS: 26.22 | Video Playback FPS: 18.32 | Frames in Buffer: 18
Processing FPS: 26.40 | Video Playback FPS: 18.47 | Frames in Buffer: 18
Processing FPS: 26.56 | Video Playback FPS: 18.47 | Frames in Buffer: 19
Processing FPS: 26.69 | Video Playback FPS: 18.61 | Frames in Buffer: 19
Processing FPS: 26.83 | Video Playback FPS: 18.76 | Frames in Buffer: 19
Processing FPS: 26.99 | Video Playback FPS: 18.76 | Frames in Buffer: 20
Processing FPS: 27.12 | Video Playback FPS: 18.90 | Frames in Buffer: 20
Processing FPS: 27.27 | Video Playback FPS: 19.05 | Frames in Buffer: 20
Processing FPS: 27.41 | Video Playback FPS: 19.05 | Frames in Buffer: 21
Processing FPS: 27.54 | Video Playback FPS: 19.19 | Frames in Buffer: 21
Processing FPS: 27.70 | Video Playback FPS: 19.33 | Frames in Buffer: 21
Processing FPS: 27.79 | Video Playback FPS: 19.33 | Frames in Buffer: 22
Processing FPS: 27.93 | Video Playback FPS: 19.48 | Frames in Buffer: 22
Processing FPS: 28.07 | Video Playback FPS: 19.63 | Frames in Buffer: 22
Processing FPS: 28.22 | Video Playback FPS: 19.63 | Frames in Buffer: 23
Processing FPS: 28.33 | Video Playback FPS: 19.77 | Frames in Buffer: 23
Processing FPS: 28.41 | Video Playback FPS: 19.92 | Frames in Buffer: 23
Processing FPS: 28.52 | Video Playback FPS: 20.08 | Frames in Buffer: 23
Processing FPS: 28.65 | Video Playback FPS: 20.08 | Frames in Buffer: 24
Processing FPS: 28.74 | Video Playback FPS: 20.18 | Frames in Buffer: 24
Processing FPS: 28.85 | Video Playback FPS: 20.33 | Frames in Buffer: 24
Processing FPS: 28.96 | Video Playback FPS: 20.46 | Frames in Buffer: 24
Processing FPS: 29.07 | Video Playback FPS: 20.46 | Frames in Buffer: 25
Processing FPS: 29.18 | Video Playback FPS: 20.59 | Frames in Buffer: 25
Processing FPS: 29.27 | Video Playback FPS: 20.72 | Frames in Buffer: 25
Processing FPS: 29.39 | Video Playback FPS: 20.83 | Frames in Buffer: 25
Processing FPS: 29.50 | Video Playback FPS: 20.83 | Frames in Buffer: 26
Processing FPS: 29.60 | Video Playback FPS: 20.94 | Frames in Buffer: 26
Processing FPS: 29.65 | Video Playback FPS: 21.05 | Frames in Buffer: 26
Processing FPS: 29.73 | Video Playback FPS: 21.05 | Frames in Buffer: 27
Processing FPS: 29.81 | Video Playback FPS: 21.13 | Frames in Buffer: 27
Processing FPS: 29.90 | Video Playback FPS: 21.23 | Frames in Buffer: 27
Processing FPS: 30.00 | Video Playback FPS: 21.32 | Frames in Buffer: 27
Processing FPS: 30.08 | Video Playback FPS: 21.32 | Frames in Buffer: 28
Processing FPS: 30.18 | Video Playback FPS: 21.41 | Frames in Buffer: 28
Processing FPS: 30.25 | Video Playback FPS: 21.49 | Frames in Buffer: 28
Processing FPS: 30.33 | Video Playback FPS: 21.49 | Frames in Buffer: 29
Processing FPS: 30.40 | Video Playback FPS: 21.57 | Frames in Buffer: 29
Processing FPS: 30.47 | Video Playback FPS: 21.65 | Frames in Buffer: 29
Processing FPS: 30.55 | Video Playback FPS: 21.65 | Frames in Buffer: 30
Processing FPS: 30.63 | Video Playback FPS: 21.72 | Frames in Buffer: 30
Processing FPS: 30.68 | Video Playback FPS: 21.79 | Frames in Buffer: 30
Processing FPS: 30.76 | Video Playback FPS: 21.79 | Frames in Buffer: 31
Processing FPS: 30.81 | Video Playback FPS: 21.83 | Frames in Buffer: 31
Processing FPS: 30.88 | Video Playback FPS: 21.89 | Frames in Buffer: 31
Processing FPS: 30.98 | Video Playback FPS: 21.89 | Frames in Buffer: 32
Processing FPS: 31.03 | Video Playback FPS: 21.94 | Frames in Buffer: 32
Processing FPS: 31.10 | Video Playback FPS: 22.01 | Frames in Buffer: 32
Processing FPS: 32.61 | Video Playback FPS: 22.01 | Frames in Buffer: 33
Processing FPS: 32.38 | Video Playback FPS: 22.07 | Frames in Buffer: 33
Processing FPS: 35.63 | Video Playback FPS: 22.12 | Frames in Buffer: 33
Processing FPS: 39.61 | Video Playback FPS: 22.12 | Frames in Buffer: 34
Processing FPS: 39.62 | Video Playback FPS: 22.17 | Frames in Buffer: 34
